STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,org_inst,National and international organizations and institutions,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2021,,50.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2022,,55.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2023,,55.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BE,Belgium,2024,,55.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2003,,26.5,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2004,,27.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2005,,30.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2006,,29.5,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2007,,30.1,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2008,,29.5,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2009,,31.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2010,,33.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2011,,35.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2012,,38.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2013,,33.9,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2014,,30.9,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2015,,27.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2016,,36.1,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2017,,37.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2018,,39.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2019,,39.4,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2020,,40.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2021,,36.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2022,,40.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2023,,36.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,BG,Bulgaria,2024,,38.4,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2003,,9.1,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2004,,0.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2005,,0.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2006,,0.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2007,,16.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2008,,12.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2009,,8.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2010,,16.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2011,,25.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2012,,33.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2013,,8.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2014,,8.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2015,,8.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2016,,8.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2017,,8.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2018,,16.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2019,,16.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2020,,25.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2021,,25.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2022,,16.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2023,,25.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CY,Cyprus,2024,,16.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2004,,11.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2005,,9.5,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2006,,11.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2007,,16.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2008,,11.1,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2009,,17.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2010,,0.0,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2011,,6.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2012,,12.5,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2013,,6.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2014,,17.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2015,,17.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2016,,17.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2017,,11.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2018,,26.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2019,,26.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2020,,28.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2021,,28.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2022,,11.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2023,,11.1,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,CZ,Czechia,2024,,5.9,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2003,,45.7,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2004,,46.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2005,,26.7,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2006,,38.9,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2007,,30.4,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2008,,32.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2009,,32.6,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2010,,28.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2011,,28.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2012,,28.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2013,,27.3,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2014,,42.9,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2015,,40.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2016,,40.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2017,,42.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2018,,39.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2019,,40.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2020,,41.2,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2021,,40.8,,,,,
dataflow,ESTAT:SDG_05_50(1.0),Seats held by women in national parliaments and governments,A,Annual,GOV_NAT,National government,F,Females,PC_WMN,Percentage of women,DE,Germany,2022,,50.0,,,,,
